article;publication_date;location;latitude;longitude;country;continent;admin1;admin2;geonames_class;geonames_code;label;confidence;user_label;dates;diseases;species;cases;symptoms;keywords;url;source;article_user_label;rss_feed;rss_feed_reliability
"007aae918f";"2016-06-24";"Nakasongola District";"1.389030";"32.416080";"Uganda";"Africa";"Central Region";"73";"A";"ADM2";"correct";"0.8545";"";"";"African swine fever,Avian influenza,Foot-and-mouth disease";"Bovine,Other ruminant";"'initially piloted in 10 districts covering the','epidemiological data in one database . *NL*','since the year 2013 in the districts','Kitgum *NL* From 2013 to 2016 over','From 2013 to 2016 over 130 reports','to 2016 over 130 reports have been'";"Fever";"disease,outbreak,outbreaks,case,virus";"http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFLqTSN-sNTyuY-IMRgzaXMpWKA_w&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=PipuV5j3KZDWzAb-1omACw&url=http://allafrica.com/stories/201606240320.html";"AllAfrica.com";"";"https://news.google.com/news/feeds?pz=1&cf=all&ned=en&q=%22African+swine+fever%22+OR+%22DNA+arbovirus+in+pigs%22&output=rss";"unofficial"
"007aae918f";"2016-06-24";"Mbale Municipality";"1.080140";"34.176128";"Uganda";"Africa";"Eastern Region";"87";"A";"ADM3";"correct";"0.8545";"";"";"African swine fever,Avian influenza,Foot-and-mouth disease";"Bovine,Other ruminant";"'initially piloted in 10 districts covering the','epidemiological data in one database . *NL*','since the year 2013 in the districts','Kitgum *NL* From 2013 to 2016 over','From 2013 to 2016 over 130 reports','to 2016 over 130 reports have been'";"Fever";"disease,outbreak,outbreaks,case,virus";"http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFLqTSN-sNTyuY-IMRgzaXMpWKA_w&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=PipuV5j3KZDWzAb-1omACw&url=http://allafrica.com/stories/201606240320.html";"AllAfrica.com";"";"https://news.google.com/news/feeds?pz=1&cf=all&ned=en&q=%22African+swine+fever%22+OR+%22DNA+arbovirus+in+pigs%22&output=rss";"unofficial"
"007aae918f";"2016-06-24";"Rakai District";"-0.757730";"31.509899";"Uganda";"Africa";"Central Region";"61";"A";"ADM2";"correct";"0.8545";"";"";"African swine fever,Avian influenza,Foot-and-mouth disease";"Bovine,Other ruminant";"'initially piloted in 10 districts covering the','epidemiological data in one database . *NL*','since the year 2013 in the districts','Kitgum *NL* From 2013 to 2016 over','From 2013 to 2016 over 130 reports','to 2016 over 130 reports have been'";"Fever";"disease,outbreak,outbreaks,case,virus";"http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFLqTSN-sNTyuY-IMRgzaXMpWKA_w&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=PipuV5j3KZDWzAb-1omACw&url=http://allafrica.com/stories/201606240320.html";"AllAfrica.com";"";"https://news.google.com/news/feeds?pz=1&cf=all&ned=en&q=%22African+swine+fever%22+OR+%22DNA+arbovirus+in+pigs%22&output=rss";"unofficial"
"007aae918f";"2016-06-24";"Sironko District";"1.157000";"34.313999";"Uganda";"Africa";"Eastern Region";"94";"A";"ADM2";"correct";"0.8545";"";"";"African swine fever,Avian influenza,Foot-and-mouth disease";"Bovine,Other ruminant";"'initially piloted in 10 districts covering the','epidemiological data in one database . *NL*','since the year 2013 in the districts','Kitgum *NL* From 2013 to 2016 over','From 2013 to 2016 over 130 reports','to 2016 over 130 reports have been'";"Fever";"disease,outbreak,outbreaks,case,virus";"http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFLqTSN-sNTyuY-IMRgzaXMpWKA_w&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=PipuV5j3KZDWzAb-1omACw&url=http://allafrica.com/stories/201606240320.html";"AllAfrica.com";"";"https://news.google.com/news/feeds?pz=1&cf=all&ned=en&q=%22African+swine+fever%22+OR+%22DNA+arbovirus+in+pigs%22&output=rss";"unofficial"
"007aae918f";"2016-06-24";"Busia District";"0.417620";"34.004211";"Uganda";"Africa";"Eastern Region";"67";"A";"ADM2";"correct";"0.8545";"";"";"African swine fever,Avian influenza,Foot-and-mouth disease";"Bovine,Other ruminant";"'initially piloted in 10 districts covering the','epidemiological data in one database . *NL*','since the year 2013 in the districts','Kitgum *NL* From 2013 to 2016 over','From 2013 to 2016 over 130 reports','to 2016 over 130 reports have been'";"Fever";"disease,outbreak,outbreaks,case,virus";"http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFLqTSN-sNTyuY-IMRgzaXMpWKA_w&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=PipuV5j3KZDWzAb-1omACw&url=http://allafrica.com/stories/201606240320.html";"AllAfrica.com";"";"https://news.google.com/news/feeds?pz=1&cf=all&ned=en&q=%22African+swine+fever%22+OR+%22DNA+arbovirus+in+pigs%22&output=rss";"unofficial"
"003b8af33c";"2016-08-09";"Odessa";"46.477470";"30.732620";"Ukraine";"Europe";"Odessa";"";"P";"PPLA";"correct";"1";"";"2016-08-09,2016-08-08,2016-08-05,2016-08-04";"African swine fever";"Porcine";"'*NL* 2016 - 08 -09 T10 :14','*NL* 10:14 *NL* 09.08.2016 *NL* Cases of'";"Fever,Mortality";"cases,virus,disease,outbreak,spread";"http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFfOkNfjE6fcCiFOPDNiTWZ2KS_qQ&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=Vc2qV9CFLcSBzAaD9rawAQ&url=http://en.interfax.com.ua/news/economic/362681.html";"Interfax";"related";"https://news.google.com/news/feeds?pz=1&cf=all&ned=en&q=%22swine+fever%22+OR+%22classical+swine+fever%22&output=rss";"unofficial"
"003b8af33c";"2016-08-09";"Odes’ka Oblast’";"46.750000";"30.250000";"Ukraine";"Europe";"Odessa";"";"A";"ADM1";"correct";"1";"";"2016-08-09,2016-08-08,2016-08-05,2016-08-04";"African swine fever";"Porcine";"'*NL* 2016 - 08 -09 T10 :14','*NL* 10:14 *NL* 09.08.2016 *NL* Cases of'";"Fever,Mortality";"cases,virus,disease,outbreak,spread";"http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFfOkNfjE6fcCiFOPDNiTWZ2KS_qQ&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=Vc2qV9CFLcSBzAaD9rawAQ&url=http://en.interfax.com.ua/news/economic/362681.html";"Interfax";"related";"https://news.google.com/news/feeds?pz=1&cf=all&ned=en&q=%22swine+fever%22+OR+%22classical+swine+fever%22&output=rss";"unofficial"
"003b8af33c";"2016-08-09";"Mykolayiv";"46.965910";"31.997400";"Ukraine";"Europe";"Mykolaiv";"";"P";"PPLA";"correct";"0.99";"";"2016-08-09,2016-08-08,2016-08-05,2016-08-04";"African swine fever";"Porcine";"'*NL* 2016 - 08 -09 T10 :14','*NL* 10:14 *NL* 09.08.2016 *NL* Cases of'";"Fever,Mortality";"cases,virus,disease,outbreak,spread";"http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFfOkNfjE6fcCiFOPDNiTWZ2KS_qQ&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=Vc2qV9CFLcSBzAaD9rawAQ&url=http://en.interfax.com.ua/news/economic/362681.html";"Interfax";"related";"https://news.google.com/news/feeds?pz=1&cf=all&ned=en&q=%22swine+fever%22+OR+%22classical+swine+fever%22&output=rss";"unofficial"
"003b8af33c";"2016-08-09";"Mykolayivs’ka Oblast’";"47.416670";"31.833330";"Ukraine";"Europe";"Mykolaiv";"";"A";"ADM1";"correct";"0.99";"";"2016-08-09,2016-08-08,2016-08-05,2016-08-04";"African swine fever";"Porcine";"'*NL* 2016 - 08 -09 T10 :14','*NL* 10:14 *NL* 09.08.2016 *NL* Cases of'";"Fever,Mortality";"cases,virus,disease,outbreak,spread";"http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFfOkNfjE6fcCiFOPDNiTWZ2KS_qQ&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=Vc2qV9CFLcSBzAaD9rawAQ&url=http://en.interfax.com.ua/news/economic/362681.html";"Interfax";"related";"https://news.google.com/news/feeds?pz=1&cf=all&ned=en&q=%22swine+fever%22+OR+%22classical+swine+fever%22&output=rss";"unofficial"
"00a5f0dc26";"2017-01-16";"Ādažu Novads";"57.109170";"24.379440";"Latvia";"Europe";"Ādaži";"";"A";"ADM1";"correct";"0.995";"";"2017-01-16,2017-01-17,2014-07-01,2014-06-01";"African swine fever";"Porcine";"'time . In 2014 the emergency situation','. *NL* In 2016 , ASF was',', 142 and 119 pigs respectively had'";"Fever";"outbreak,disease,case,infection,virus";"http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEPqut_9A-iJQdT_2LH8KoLutc0oA&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779348700568&ei=ZcV9WPjPAtDazAb0uJy4CA&url=http://www.baltictimes.com/crisis_management_council_proposes_declaring_emergency_situation_in_central_latvia_due_to_asf_outbreak/";"Baltic Times";"";"https://news.google.com/news/feeds?pz=1&cf=all&ned=en&q=%22African+swine+fever%22+OR+%22DNA+arbovirus+in+pigs%22&output=rss";"unofficial"
